Reference ID,Formula,Microstructure,Processing Method,Calculated Density (g/cmÂ³),Yield Strength (MPa)
87,Hf1 Nb1 Ta1 Zr1,BCC+HCP,ANNEAL,11.1,2310.0
87,Hf1 Nb1 Ta1 Zr1,BCC+HCP,ANNEAL,11.1,2100.0
87,Hf1 Nb1 Ta1 Zr1,BCC+HCP,ANNEAL,11.1,2020.0
87,Hf1 Nb1 Ta1 Zr1,BCC+HCP,ANNEAL,11.1,1950.0
87,Hf1 Nb1 Ta1 Zr1,BCC,CAST,11.1,1315.0
89,Mo1 Nb1 Ta1 Ti0.25 W1,BCC,CAST,13.1,1109.0
89,Mo1 Nb1 Ta1 Ti0.5 W1,BCC,CAST,12.6,1211.0
89,Mo1 Nb1 Ta1 Ti0.75 W1,BCC,CAST,12.2,1304.0
89,Mo1 Nb1 Ta1 Ti1 W1,BCC,CAST,11.8,1455.0
89,Mo1 Nb1 Ta1 W1,BCC,CAST,13.7,996.0
90,Mo1 Nb1 Ta1 Ti1 V1,BCC,CAST,9.4,1400.0
91,Mo1 Nb1 Ta1 Ti1 V1 W1,BCC,CAST,11.0,1515.0
91,Mo1 Nb1 Ta1 Ti1 W1,BCC,CAST,11.8,1343.0
92,Mo1 Nb1 Ta1 Ti1 Zr1,BCC+BCC,CAST,9.1,1390.0
93,Mo1 Nb1 Ta1 Ti1 Zr1,BCC+BCC,ANNEAL,9.1,1100.0
93,Mo1 Nb1 Ta1 Ti1 Zr1,BCC+BCC,CAST,9.1,1375.0
94,Mo1 Nb1 Ta1 V1 W1,BCC,POWDER,12.4,2612.0
95,Nb1 Ta1 Ti1 V1,BCC,CAST,9.2,965.0
95,Nb1 Ta1 Ti1 V1 W1,BCC,CAST,11.1,1420.0
95,Nb1 Ta1 V1 W1,BCC,CAST,12.9,1530.0
96,Al0.25 Cr0.5 Nb0.5 Ti1 V0.25,BCC+Laves,ANNEAL,5.8,1340.0
96,Al0.25 Cr0.5 Nb0.5 Ti1 V0.25,BCC,CAST,5.8,1240.0
97,Al1 Cr0.5 Nb1 Ti1 V1,BCC,ANNEAL,5.6,1300.0
97,Al0.667 Cr1 Nb0.667 Ti0.667 V0.667,BCC+Laves,ANNEAL,5.9,1700.0
97,Al1 Cr1 Nb1 Ti1 V1,BCC+Laves,ANNEAL,5.8,1550.0
97,Al1 Nb1 Ti1 V1,BCC,ANNEAL,5.5,1000.0
151,Cr0.5 Fe1 Mn0.625 Ni0.375,FCC+BCC,CAST,7.8,219.0
151,Al0.05 Cr0.5 Fe1 Mn0.625 Ni0.375,FCC+BCC,CAST,7.6,354.0
151,Al0.15 Cr0.5 Fe1 Mn0.625 Ni0.375,FCC+BCC,CAST,7.4,550.0
151,Al0.25 Cr0.5 Fe1 Mn0.625 Ni0.375,B2+BCC,CAST,7.2,994.0
151,Al0.35 Cr0.5 Fe1 Mn0.625 Ni0.375,B2+BCC,CAST,6.9,942.0
188,Al1 Co1 Cr1 Fe1 Ni1,BCC+B2,CAST,6.7,1380.0
188,Al1 Co1 Cr1 Fe1 Ni1,BCC+B2+FCC+Sec.,ANNEAL,6.7,1430.0
188,Al1 Co1 Cr1 Fe1 Ni1,BCC+B2+FCC,ANNEAL,6.7,1690.0
188,Al1 Co1 Cr1 Fe1 Ni1,BCC+B2+FCC,ANNEAL,6.7,1220.0
188,Al1 Co1 Cr1 Fe1 Ni1,BCC+B2+FCC,ANNEAL,6.7,1450.0
193,Al0.885 Cr1 Fe1 Ni1,BCC+B2,CAST,6.4,770.0
193,Al1 Cr1 Fe1 Ni1,BCC+B2,CAST,6.3,843.2
193,Al1 Cr0.889 Fe0.889 Ni0.889,BCC+B2,CAST,6.1,1044.0
193,Al1 Cr0.828 Fe0.828 Ni0.828,BCC+B2,CAST,6.0,906.8
193,Al1 Cr0.767 Fe0.767 Ni0.767,BCC+B2,CAST,5.9,1122.8
202,Co1 Cr1 Fe1 Mn1 Ni1,FCC,ANNEAL,8.0,230.0
202,Co1 Cr1 Fe1 Mn1 Ni1 V0.263,FCC+Sec.,ANNEAL,7.9,200.0
202,Co1 Cr1 Fe1 Mn1 Ni1 V0.5,FCC+Sec.,ANNEAL,7.8,620.0
202,Co1 Cr1 Fe1 Mn1 Ni1 V0.765,FCC+Sec.,ANNEAL,7.7,780.0
202,Co1 Cr1 Fe1 Mn1 Ni1 V1,FCC+Sec.,ANNEAL,7.7,1700.0
115,Co1 Cr1 Fe1 Mn1 Ni1,FCC,CAST,8.0,210.0
115,Co1 Cr1 Fe1 Mn1 Ni1,FCC,WROUGHT,8.0,1150.0
115,Co1 Cr1 Fe1 Mn1 Ni1,FCC,WROUGHT,8.0,1300.0
125,Nb1 Ta1 Ti1 V1,BCC,POWDER,9.2,1108.0
125,Nb1 Ta1 Ti1 V1,BCC,POWDER,9.2,1308.0
125,Nb1 Ta1 Ti1 V1,BCC,POWDER,9.2,1373.0
136,Co1 Cr1 Fe1 Mn1 Ni1,FCC+BCC,CAST,8.0,1314.0
136,Al0.1 Co1 Cr1 Fe1 Mn1 Ni1,FCC+BCC,CAST,7.9,1631.0
136,Al0.3 Co1 Cr1 Fe1 Mn1 Ni1,FCC+BCC,CAST,7.6,1836.0
136,Al0.5 Co1 Cr1 Fe1 Mn1 Ni1,FCC+BCC,CAST,7.4,1932.0
136,Al0.7 Co1 Cr1 Fe1 Mn1 Ni1,FCC+BCC,CAST,7.1,2230.0
139,Co1 Cr1 Fe1 Mn1 Ni1,FCC,CAST,8.0,216.0
139,Co1 Cr1 Fe1 Mn1 Mo0.042 Ni1,FCC,CAST,8.1,225.0
139,Co1 Cr1 Fe1 Mn1 Mo0.087 Ni1,FCC+Sec.,CAST,8.1,330.0
139,Co1 Cr1 Fe1 Mn1 Mo0.136 Ni1,FCC+Sec.,CAST,8.1,560.0
139,Co1 Cr1 Fe1 Mn1 Mo0.19 Ni1,FCC+Sec.,CAST,8.1,765.0
142,Al1 Co1 Cr1 Ni1,BCC+B2,CAST,6.4,1750.0
147,Cr1 Mo1 Nb1 Ta1 V1 W1,BCC+Laves+Sec.,POWDER,11.7,3416.0
147,Cr1 Mo1 Nb1 Ta1 V1 W1,BCC+Laves+Sec.,POWDER,11.7,3410.0
147,Cr1 Mo1 Nb1 Ta1 V1 W1,BCC+Laves+Sec.,POWDER,11.7,3338.0
153,Al0.544 C0.001 Co0.69 Fe1 Ni0.69,B2+L12,CAST,7.0,1202.0
206,Cr0.286 Mo0.476 Nb1 Ta0.024 Ti0.31 V0.286,BCC+Sec.,POWDER,8.0,2680.0
207,Hf1 Mo1 Nb1 Ti1 Zr1,BCC,CAST,8.7,1719.0
215,Al1 Co1 Cr1 Fe1 Ni1,B2+BCC,CAST,6.7,1631.0
215,Al1 Co1 Cr1 Fe1 Ni1,B2+BCC,CAST,6.7,1209.0
219,Mo1 Nb1 Re0.5 W1,BCC,CAST,13.7,896.0
219,C0.2 Mo1 Nb1 Re0.5 Ta0.2 W1,BCC+Sec.,CAST,13.5,1074.0
219,C0.4 Mo1 Nb1 Re0.5 Ta0.4 W1,BCC+Sec.,CAST,13.4,1144.0
219,C0.5 Mo1 Nb1 Re0.5 Ta0.5 W1,BCC+Sec.,CAST,13.3,1202.0
219,C0.6 Mo1 Nb1 Re0.5 Ta0.6 W1,BCC+Sec.,CAST,13.3,1241.0
224,Al1 Co0.5 Cr0.5 Fe0.5 Ni0.5,BCC+B2,CAST,5.9,1241.0
224,Al1 Co0.556 Cr0.556 Fe0.556 Ni0.556 Ti0.111,BCC+B2,CAST,5.9,1324.0
224,Al1 Co0.667 Cr0.667 Fe0.667 Ni0.667 Ti0.333,BCC+B2,CAST,6.1,1566.0
224,Al1 Co0.833 Cr0.833 Fe0.833 Ni0.833 Ti0.667,BCC+B2,CAST,6.2,1503.0
224,Al1 Co1 Cr1 Fe1 Ni1 Ti1,BCC+B2+Laves,CAST,6.2,1448.0
224,Al0.667 Co0.833 Cr0.833 Fe0.833 Ni0.833 Ti1,BCC+B2+Laves,CAST,6.3,1272.0
230,Hf1 Nb1 Ta1 Ti1 W1 Zr1,BCC+Laves,CAST,11.2,1550.0
230,Hf1 Mo1 Nb1 Ta1 Ti1 W1 Zr1,BCC+Laves,CAST,11.1,1637.0
231,Nb1 Ti1 Zr1,BCC,CAST,6.5,1223.0
231,Hf1 Nb1 Ti1 Zr1,BCC,CAST,8.4,1000.0
232,Co1 Cr1 Fe1 Ni1,FCC,CAST,8.2,163.0
232,Co1 Cr1 Fe1 Ni1 W0.2,FCC,CAST,8.9,335.0
232,Co1 Cr1 Fe1 Ni1 W0.5,FCC+Sec.,CAST,9.8,556.0
233,Cr1 Fe1 Mo1 Nb1 V1,BCC+Laves,CAST,8.1,2663.0
233,Cr1 Fe1 Mo1 Nb1 Ti1,BCC+Laves,CAST,7.6,1647.0
233,Fe1 Mo1 Nb1 Ti1 V1,BCC+B2,CAST,7.4,1707.0
239,Hf0.25 Ti1 V0.5 Zr0.5,BCC,CAST,6.5,1160.0
239,Hf0.25 Nb0.125 Ti1 V0.5 Zr0.5,BCC,CAST,6.6,1115.0
239,Hf0.25 Nb0.25 Ti1 V0.5 Zr0.5,BCC,CAST,6.7,1065.0
239,Hf0.25 Nb0.375 Ti1 V0.5 Zr0.5,BCC,CAST,6.8,1025.0
239,Hf0.25 Nb0.5 Ti1 V0.5 Zr0.5,BCC,CAST,6.9,980.0
243,Al1 Co1 Cr1 Fe1 Ni1,BCC+FCC,POWDER,6.7,1221.1
243,Al1 Co1 Cr1 Fe1 Ni1,BCC+FCC,POWDER,6.7,1186.7
243,Al1 Co1 Cr1 Fe1 Ni1,BCC+FCC,POWDER,6.7,1112.9
244,Cr1 Mo1 Nb1 Ti1 W1,BCC+Laves,POWDER,9.9,2500.0
244,Cr1 Mo1 Nb1 Ti1 W1,BCC+Laves,POWDER,9.9,1260.0
244,Cr1 Mo1 Nb1 Ti1 W1,BCC+Laves,POWDER,9.9,1630.0
244,Cr1 Mo1 Nb1 Ti1 W1,BCC+Laves,POWDER,9.9,2030.0
244,Cr1 Mo1 Nb1 Ti1 W1,BCC+Laves,POWDER,9.9,1920.0
246,Al1 Co1 Cr1 Fe1 Ni1,BCC+B2+FCC,POWDER,6.7,520.0
246,Al1 Co1 Cr1 Fe1 Ni1,BCC+B2+FCC,POWDER,6.7,1150.0
246,Al1 Co1 Cr1 Fe1 Ni1,BCC+B2+FCC,POWDER,6.7,1287.0
246,Al1 Co1 Cr1 Fe1 Ni1,BCC+B2+FCC,POWDER,6.7,1286.0
246,Al1 Co1 Cr1 Fe1 Ni1,BCC+B2+FCC,POWDER,6.7,1390.0
246,Al1 Co1 Cr1 Fe1 Ni1,BCC+B2+FCC,POWDER,6.7,1626.0
250,Al0.5 Nb1 Ta0.5 Ti1 Zr1,BCC+HCP,WROUGHT,7.3,1500.0
250,Al0.5 Nb1 Ta0.5 Ti1 Zr1,BCC+HCP,WROUGHT,7.3,1200.0
250,Al0.5 Nb1 Ta0.5 Ti1 Zr1,BCC+HCP,WROUGHT,7.3,2100.0
250,Al0.5 Nb1 Ta0.5 Ti1 Zr1,BCC+HCP,WROUGHT,7.3,1740.0
250,Al0.5 Nb1 Ta0.5 Ti1 Zr1,BCC+HCP,WROUGHT,7.3,1630.0
251,Mo1 Nb1 Ta1 W1,BCC,POWDER,13.7,1217.0
251,Mo1 Nb1 Si0.25 Ta1 W1,BCC+Sec.,POWDER,12.9,1826.0
251,Mo1 Nb1 Si0.5 Ta1 W1,BCC+Sec.,POWDER,12.2,1883.0
251,Mo1 Nb1 Si0.75 Ta1 W1,BCC+Sec.,POWDER,11.6,2483.0
253,C0.1 Co1 Cr1 Fe1 Mn1 Ni1 Ti0.1,FCC+Sec.,POWDER,7.8,1616.0
253,C0.1 Co1 Cr1 Fe1 Mn1 Ni1 Ti0.1,FCC+Sec.,POWDER,7.8,1652.0
253,C0.1 Co1 Cr1 Fe1 Mn1 Ni1 Ti0.1,FCC+Sec.,POWDER,7.8,1490.0
253,C0.1 Co1 Cr1 Fe1 Mn1 Ni1 Ti0.1,FCC+Sec.,POWDER,7.8,1194.0
263,Al1 Co1 Cu1 Fe1 Ni0.5,FCC+BCC+B2,CAST,6.9,929.0
263,Al1 Co1 Cu1 Fe1 Ni0.8,FCC+BCC+B2,CAST,7.0,1021.0
263,Al1 Co1 Cu1 Fe1 Ni1,FCC+BCC+B2,CAST,7.0,994.0
263,Al0.667 Co0.667 Cu0.667 Fe0.667 Ni1,FCC+BCC+B2,CAST,7.2,680.0
263,Al0.5 Co0.5 Cu0.5 Fe0.5 Ni1,FCC+BCC+B2,CAST,7.3,544.0
263,Al0.333 Co0.333 Cu0.333 Fe0.333 Ni1,FCC,CAST,7.5,268.0
99,Al0.5 Cr1 Fe1 Mn1 Ni1,BCC+B2,CAST,7.1,1091.0
99,Al0.6 Cr1 Fe1 Mn1 Ni1,BCC+B2,CAST,6.9,1130.0
99,Al0.7 Cr1 Fe1 Mn1 Ni1,BCC+B2,CAST,6.8,1170.0
99,Al0.8 Cr1 Fe1 Mn1 Ni1,BCC+B2,CAST,6.7,1200.0
101,Al1 Cu0.077 Fe0.077 Mg0.077 Si0.231 Zn0.077,FCC,CAST,3.2,422.0
101,Al1 Cu0.077 Mg0.077 Ni0.077 Si0.231 Zn0.077,FCC,CAST,3.2,534.0
101,Al1 Cr0.077 Cu0.077 Mg0.077 Si0.231 Zn0.077,FCC,CAST,3.1,490.0
101,Al1 Cu0.077 Mg0.077 Mn0.077 Si0.231 Zn0.077,FCC,CAST,3.2,622.0
101,Al1 Cu0.077 Mg0.077 Si0.231 Zn0.077 Zr0.077,FCC+Laves,CAST,3.2,565.0
104,Co1 Cr1 Fe1 Mn0.2 Ni1 Pd1,FCC+Sec.,CAST,9.1,650.0
104,Co1 Cr1 Fe1 Mn0.4 Ni1 Pd1,FCC+Sec.,CAST,9.1,650.0
104,Co1 Cr1 Fe1 Mn0.6 Ni1 Pd1,FCC+Sec.,CAST,9.0,650.0
104,Co1 Cr1 Fe1 Mn0.8 Ni1 Pd1,FCC+Sec.,CAST,8.9,650.0
107,Cr1 Fe1 Ni1 Ti0.2,BCC+FCC,CAST,7.6,2297.94
107,Cr1 Fe1 Ni1 Ti0.3,BCC+FCC,CAST,7.5,2364.63
107,Cr1 Fe1 Ni1 Ti0.4,BCC,CAST,7.4,2475.41
107,Cr1 Fe1 Ni1 Ti0.5,BCC,CAST,7.3,2380.79
107,Cr1 Fe1 Ni1 Ti0.6,BCC,CAST,7.2,1923.15
108,Al1 Cr1 Cu1 Fe1 Mn1,Other,POWDER,6.5,1010.0
108,Al1 Cr1 Cu1 Fe1 Mn1 W0.05,BCC+Sec.,POWDER,6.7,1120.0
108,Al1 Cr1 Cu1 Fe1 Mn1 W0.1,BCC+Sec.,POWDER,6.8,1250.0
108,Al1 Cr1 Cu1 Fe1 Mn1 W0.5,BCC+Sec.,POWDER,7.9,1510.0
109,Co0.2 Cu0.2 Fe0.2 Nb1 Ni0.2,FCC+Laves,WROUGHT,8.6,1498.0
109,Co0.133 Cu0.133 Fe0.133 Nb1 Ni0.133,FCC+Laves,WROUGHT,8.6,1635.0
109,Co0.086 Cu0.086 Fe0.086 Nb1 Ni0.086,FCC+Laves,WROUGHT,8.6,1703.0
109,Co0.067 Cu0.067 Fe0.067 Nb1 Ni0.067,FCC+Laves,WROUGHT,8.6,1415.0
112,Hf1 Ti1 Zr1,Other,CAST,8.3,773.0
112,Hf1 Sc1 Ti1 Zr1,Other,CAST,6.8,1001.0
112,Hf1 Ti1 Y1 Zr1,Other,CAST,7.0,554.0
112,Hf1 Sc1 Ti1 Y1 Zr1,Other,CAST,6.2,793.0
114,Al0.562 Co0.938 Cr0.312 Fe0.312 Ni1,FCC+BCC,CAST,7.1,1129.4
114,Al0.581 Co0.968 Cr0.323 Fe0.323 Mo0.032 Ni1,FCC+BCC,CAST,7.1,1159.7
114,Al0.6 Co1 Cr0.333 Fe0.333 Mo0.067 Ni1,FCC+BCC,CAST,7.1,1250.8
114,Al0.6 Co1 Cr0.333 Fe0.333 Mo0.1 Ni0.967,FCC+BCC,CAST,7.2,1198.3
117,Co1 Cr1 Cu1 Fe1 Ni1,FCC,CAST,8.3,300.0
117,Co1 Cr1 Cu1 Fe1 Ni1 V0.042,FCC+Sec.,CAST,8.3,303.0
117,Co1 Cr1 Cu1 Fe1 Ni1 V0.087,FCC+Sec.,CAST,8.3,307.0
117,Co1 Cr1 Cu1 Fe1 Ni1 V0.136,FCC+Sec.,CAST,8.3,330.0
117,Co1 Cr1 Cu1 Fe1 Ni1 V0.19,FCC+Sec.,CAST,8.2,616.0
118,Co1 Cr1 Cu1 Ni1 Zn1,FCC+FCC,POWDER,8.1,2121.0
124,Co1 Cr1 Fe1 Mn1 Ni1,FCC,POWDER,8.0,1100.0
127,Hf1 Mo1 Nb1 Ta1 Ti1 Zr1,BCC,CAST,9.9,1512.0
127,Hf1 Mo1 Ta1 Ti1 Zr1,BCC,CAST,10.2,1600.0
127,Hf1 Mo1 Nb1 Ti1 Zr1,BCC,CAST,8.7,1351.0
127,Hf1 Mo1 Nb1 Ta1 Zr1,BCC,CAST,10.9,1524.0
127,Hf1 Mo1 Nb1 Ta1 Ti1,BCC,CAST,10.8,1369.0
129,Al0.267 Co1 Cr0.667 Fe0.667 Ni0.667 Ti0.2,FCC+BCC,POWDER,7.3,2012.0
131,Al1 Nb1 Ti1 Zr1,B2,CAST,5.7,1509.0
131,Al1 Nb1 Ti1 Zr1,B2+Sec.,ANNEAL,5.7,1579.0
264,Al1 Cr1 Fe1 Mo0.5 Ni1,BCC+B2,CAST,6.8,1914.1
264,Al1 Cr1 Fe1 Mo0.5 Ni1 Ti0.25,BCC+B2,CAST,6.6,2161.7
264,Al1 Cr1 Fe1 Mo0.5 Ni1 Ti0.4,BCC+B2,CAST,6.5,2185.1
264,Al1 Cr1 Fe1 Mo0.5 Ni1 Ti0.5,BCC+B2,CAST,6.5,2228.7
264,Al1 Cr1 Fe1 Mo0.5 Ni1 Ti0.6,BCC+B2,CAST,6.4,1314.5
264,Al1 Cr1 Fe1 Mo0.5 Ni1 Ti0.75,BCC+B2,CAST,6.4,618.8
